                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                  1.524,                 2.1453,                 2.2829,                0.92272,                0.54259,                0.84275,                0.61868,                 3.0826,                 3.5697,                 2.5596,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 1.6324,                 1.1376,                 2.6749,                0.91462,                0.55016,                 0.8434,                0.61882,                 3.0231,                 3.7202,                 2.4759,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 1.2896,                 1.3079,                 2.4563,                0.91462,                0.55016,                 0.8434,                0.61882,                 3.0231,                 3.7202,                 2.4759,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                 1.4049,                0.89332,                 2.1887,                0.88659,                 0.5541,                0.75778,                 0.5435,                 3.0254,                  3.759,                 2.4604,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                 1.8621,                 1.3702,                 2.6247,                0.88659,                 0.5541,                0.75778,                 0.5435,                 3.0254,                  3.759,                 2.4604,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 1.2474,                 1.3072,                 2.2791,                0.88659,                 0.5541,                0.75778,                 0.5435,                 3.0254,                  3.759,                 2.4604,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                 1.6432,                 1.2263,                 2.4628,                0.87951,                0.55559,                  0.728,                0.50161,                 3.0969,                 3.7256,                  2.513,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 1.3245,                 1.1751,                 2.0663,                0.87951,                0.55559,                  0.728,                0.50161,                 3.0969,                 3.7256,                  2.513,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 1.7962,                 1.7304,                 2.8906,                0.87951,                0.55559,                  0.728,                0.50161,                 3.0969,                 3.7256,                  2.513,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                  1.542,                 2.1016,                 2.5342,                0.87588,                0.55649,                0.71472,                0.48933,                 3.1222,                  3.788,                  2.533,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 1.4888,                 1.8823,                 2.3963,                0.87588,                0.55649,                0.71472,                0.48933,                 3.1222,                  3.788,                  2.533,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                 1.3463,                 1.4445,                  2.133,                0.87588,                0.55649,                0.71472,                0.48933,                 3.1222,                  3.788,                  2.533,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 1.9249,                 1.6024,                  3.023,                0.86843,                0.55943,                0.70492,                0.47575,                 3.1575,                 3.8576,                 2.5445,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 1.1839,                 1.1336,                 2.0858,                0.86843,                0.55943,                0.70492,                0.47575,                 3.1575,                 3.8576,                 2.5445,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                 1.1221,                 1.0069,                 1.8818,                0.86843,                0.55943,                0.70492,                0.47575,                 3.1575,                 3.8576,                 2.5445,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                 1.3903,                 1.2289,                  2.244,                0.86086,                0.56367,                0.67098,                0.44375,                  3.178,                 3.8967,                 2.5528,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                 1.2215,                0.93838,                 2.0698,                0.86086,                0.56367,                0.67098,                0.44375,                  3.178,                 3.8967,                 2.5528,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                 1.1525,                 1.2635,                 2.3282,                0.86086,                0.56367,                0.67098,                0.44375,                  3.178,                 3.8967,                 2.5528,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                0.99378,                0.89092,                  1.885,                0.86454,                0.56287,                 0.6911,                0.44966,                 3.2022,                 3.9849,                 2.5598,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                 1.3445,                 1.5186,                   2.08,                0.86454,                0.56287,                 0.6911,                0.44966,                 3.2022,                 3.9849,                 2.5598,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 1.6546,                 2.6545,                 2.4526,                0.86454,                0.56287,                 0.6911,                0.44966,                 3.2022,                 3.9849,                 2.5598,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                 1.1249,                 1.7129,                 2.0745,                0.86713,                  0.561,                 0.6714,                0.44608,                 3.2031,                 4.0347,                 2.5743,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                 1.5933,                 1.1051,                  2.531,                0.86713,                  0.561,                 0.6714,                0.44608,                 3.2031,                 4.0347,                 2.5743,             2.6021e-05,             2.6021e-05,             2.6021e-05
